date;class;focuses;uf
2026/01;Fogo em áreas de desmatamento consolidado;25;GOIÁS
2025/08;Fogo em áreas de desmatamento recente;70;GOIÁS
2025/11;Fogo em áreas de desmatamento consolidado;1;GOIÁS
2026/01;Fogo em áreas de desmatamento recente;8;GOIÁS
2026/01;Fogo em áreas de vegetação nativa;2;GOIÁS
2026/02;Fogo em áreas de desmatamento consolidado;2;GOIÁS
2025/07;Fogo em áreas de desmatamento consolidado;8;GOIÁS
2025/02;Fogo em áreas de desmatamento consolidado;48;GOIÁS
2025/02;Fogo em áreas de desmatamento recente;13;GOIÁS
2025/02;Fogo em áreas de vegetação nativa;3;GOIÁS
2025/03;Fogo em áreas de desmatamento consolidado;65;GOIÁS
2025/03;Fogo em áreas de desmatamento recente;21;GOIÁS
2025/08;Fogo em áreas de desmatamento consolidado;5;GOIÁS
2025/03;Fogo em áreas de vegetação nativa;6;GOIÁS
2025/04;Fogo em áreas de desmatamento consolidado;28;GOIÁS
2025/04;Fogo em áreas de desmatamento recente;3;GOIÁS
2025/04;Fogo em áreas de vegetação nativa;4;GOIÁS
2025/12;Fogo em áreas de desmatamento consolidado;3;GOIÁS
2025/05;Fogo em áreas de desmatamento consolidado;101;GOIÁS
2025/05;Fogo em áreas de desmatamento recente;30;GOIÁS
2025/05;Fogo em áreas de vegetação nativa;20;GOIÁS
2025/06;Fogo em áreas de desmatamento consolidado;136;GOIÁS
2025/09;Fogo em áreas de desmatamento consolidado;3;GOIÁS
2025/06;Fogo em áreas de desmatamento recente;50;GOIÁS
2025/06;Fogo em áreas de vegetação nativa;55;GOIÁS
2025/04;Fogo em áreas de desmatamento consolidado;3;GOIÁS
2025/07;Fogo em áreas de desmatamento consolidado;232;GOIÁS
2025/07;Fogo em áreas de desmatamento recente;42;GOIÁS
2025/07;Fogo em áreas de vegetação nativa;45;GOIÁS
2025/08;Fogo em áreas de desmatamento consolidado;606;GOIÁS
2025/08;Fogo em outras áreas;2;GOIÁS
2025/08;Fogo em áreas de vegetação nativa;209;GOIÁS
2025/09;Fogo em áreas de desmatamento consolidado;1026;GOIÁS
2025/09;Fogo em áreas de desmatamento recente;199;GOIÁS
2025/03;Fogo em áreas de desmatamento consolidado;4;GOIÁS
2025/09;Fogo em outras áreas;3;GOIÁS
2025/09;Fogo em áreas de vegetação nativa;394;GOIÁS
2025/10;Fogo em áreas de desmatamento consolidado;14;GOIÁS
2025/10;Fogo em áreas de desmatamento consolidado;551;GOIÁS
2025/10;Fogo em áreas de desmatamento recente;162;GOIÁS
2025/10;Fogo em outras áreas;1;GOIÁS
2025/10;Fogo em áreas de vegetação nativa;373;GOIÁS
2025/11;Fogo em áreas de desmatamento consolidado;134;GOIÁS
2025/11;Fogo em áreas de desmatamento recente;47;GOIÁS
2025/11;Fogo em áreas de vegetação nativa;12;GOIÁS
2025/02;Fogo em áreas de desmatamento consolidado;2;GOIÁS
2025/12;Fogo em áreas de desmatamento consolidado;21;GOIÁS
2025/12;Fogo em áreas de desmatamento recente;11;GOIÁS
2025/12;Fogo em áreas de vegetação nativa;1;GOIÁS
2025/06;Fogo em áreas de desmatamento recente;4;ESPÍRITO SANTO
2025/07;Fogo em áreas de desmatamento consolidado;49;ESPÍRITO SANTO
2025/06;Fogo em áreas de desmatamento consolidado;27;ESPÍRITO SANTO
2025/07;Fogo em áreas de desmatamento recente;3;ESPÍRITO SANTO
2025/08;Fogo em áreas de desmatamento consolidado;93;ESPÍRITO SANTO
2025/05;Fogo em áreas de desmatamento consolidado;7;ESPÍRITO SANTO
2025/08;Fogo em áreas de desmatamento recente;1;ESPÍRITO SANTO
2026/01;Fogo em áreas de desmatamento consolidado;22;ESPÍRITO SANTO
2025/04;Fogo em áreas de desmatamento recente;1;ESPÍRITO SANTO
2025/12;Fogo em áreas de desmatamento recente;1;ESPÍRITO SANTO
2025/09;Fogo em áreas de desmatamento consolidado;57;ESPÍRITO SANTO
2026/02;Fogo em áreas de desmatamento consolidado;1;ESPÍRITO SANTO
2025/12;Fogo em áreas de desmatamento consolidado;24;ESPÍRITO SANTO
2025/04;Fogo em áreas de desmatamento consolidado;11;ESPÍRITO SANTO
2025/11;Fogo em áreas de desmatamento consolidado;10;ESPÍRITO SANTO
2025/02;Fogo em áreas de desmatamento consolidado;26;ESPÍRITO SANTO
2025/10;Fogo em áreas de desmatamento recente;2;ESPÍRITO SANTO
2025/02;Fogo em áreas de desmatamento recente;3;ESPÍRITO SANTO
2025/10;Fogo em áreas de desmatamento consolidado;33;ESPÍRITO SANTO
2025/09;Fogo em áreas de desmatamento recente;3;ESPÍRITO SANTO
2025/03;Fogo em áreas de desmatamento consolidado;24;ESPÍRITO SANTO
2025/11;Fogo em áreas de desmatamento consolidado;1;DISTRITO FEDERAL
2025/02;Fogo em áreas de desmatamento consolidado;1;DISTRITO FEDERAL
2025/03;Fogo em áreas de desmatamento consolidado;2;DISTRITO FEDERAL
2025/08;Fogo em áreas de desmatamento consolidado;66;DISTRITO FEDERAL
2025/05;Fogo em áreas de desmatamento consolidado;4;DISTRITO FEDERAL
2025/06;Fogo em áreas de desmatamento consolidado;12;DISTRITO FEDERAL
2025/06;Fogo em áreas de desmatamento recente;1;DISTRITO FEDERAL
2025/07;Fogo em áreas de desmatamento consolidado;33;DISTRITO FEDERAL
2025/07;Fogo em áreas de desmatamento recente;1;DISTRITO FEDERAL
2025/07;Fogo em áreas de vegetação nativa;1;DISTRITO FEDERAL
2025/08;Fogo em áreas de desmatamento recente;7;DISTRITO FEDERAL
2025/08;Fogo em áreas de vegetação nativa;2;DISTRITO FEDERAL
2025/09;Fogo em áreas de desmatamento consolidado;57;DISTRITO FEDERAL
2025/09;Fogo em áreas de desmatamento recente;5;DISTRITO FEDERAL
2025/09;Fogo em áreas de vegetação nativa;8;DISTRITO FEDERAL
2025/10;Fogo em áreas de desmatamento consolidado;30;DISTRITO FEDERAL
2025/10;Fogo em áreas de vegetação nativa;3;DISTRITO FEDERAL
2025/09;Fogo em áreas de vegetação nativa;95;CEARÁ
2025/04;Fogo em áreas de desmatamento recente;10;CEARÁ
2025/06;Fogo em áreas de desmatamento recente;27;CEARÁ
2025/05;Fogo em áreas de desmatamento consolidado;19;CEARÁ
2025/06;Fogo em áreas de desmatamento consolidado;23;CEARÁ
2025/09;Fogo em áreas de desmatamento recente;146;CEARÁ
2025/09;Fogo em áreas de desmatamento consolidado;406;CEARÁ
2025/08;Fogo em áreas de vegetação nativa;13;CEARÁ
2025/08;Fogo em áreas de desmatamento recente;49;CEARÁ
2025/05;Fogo em áreas de desmatamento recente;13;CEARÁ
2025/08;Fogo em áreas de desmatamento consolidado;136;CEARÁ
2025/07;Fogo em áreas de vegetação nativa;4;CEARÁ
2025/07;Fogo em áreas de desmatamento recente;18;CEARÁ
2025/07;Fogo em áreas de desmatamento consolidado;78;CEARÁ
2025/10;Fogo em áreas de desmatamento consolidado;1046;CEARÁ
2025/10;Fogo em áreas de desmatamento recente;408;CEARÁ
2025/10;Fogo em áreas de vegetação nativa;78;CEARÁ
2025/11;Fogo em áreas de desmatamento consolidado;1971;CEARÁ
2025/11;Fogo em áreas de vegetação nativa;93;CEARÁ
2025/12;Fogo em áreas de desmatamento consolidado;1363;CEARÁ
2025/12;Fogo em áreas de desmatamento recente;658;CEARÁ
2025/12;Fogo em áreas de vegetação nativa;48;CEARÁ
2025/11;Fogo em áreas de desmatamento recente;838;CEARÁ
2025/04;Fogo em áreas de desmatamento consolidado;7;CEARÁ
2025/03;Fogo em áreas de desmatamento recente;3;CEARÁ
2025/03;Fogo em áreas de desmatamento consolidado;13;CEARÁ
2025/02;Fogo em áreas de desmatamento recente;21;CEARÁ
2025/02;Fogo em áreas de desmatamento consolidado;20;CEARÁ
2026/02;Fogo em áreas de desmatamento recente;22;CEARÁ
2026/02;Fogo em áreas de desmatamento consolidado;30;CEARÁ
2026/01;Fogo em áreas de vegetação nativa;8;CEARÁ
2026/01;Fogo em áreas de desmatamento recente;159;CEARÁ
2026/01;Fogo em áreas de desmatamento consolidado;309;CEARÁ
2025/02;Fogo em áreas de vegetação nativa;10;BAHIA
2026/01;Fogo em áreas de desmatamento consolidado;56;BAHIA
2026/01;Fogo em áreas de desmatamento recente;5;BAHIA
2026/01;Fogo em áreas de vegetação nativa;7;BAHIA
2026/02;Fogo em áreas de desmatamento consolidado;40;BAHIA
2026/02;Fogo em áreas de desmatamento recente;6;BAHIA
2025/02;Fogo em áreas de desmatamento consolidado;55;BAHIA
2026/01;Fogo em áreas de desmatamento consolidado;77;BAHIA
2026/01;Fogo em áreas de desmatamento recente;23;BAHIA
2025/02;Fogo em áreas de desmatamento recente;16;BAHIA
2026/01;Fogo em áreas de vegetação nativa;8;BAHIA
2026/02;Fogo em áreas de desmatamento consolidado;22;BAHIA
2025/02;Fogo em áreas de vegetação nativa;1;BAHIA
2026/02;Fogo em áreas de desmatamento recente;13;BAHIA
2026/02;Fogo em áreas de vegetação nativa;1;BAHIA
2025/03;Fogo em áreas de desmatamento consolidado;103;BAHIA
2025/02;Fogo em áreas de desmatamento consolidado;50;BAHIA
2025/02;Fogo em áreas de desmatamento recente;28;BAHIA
2025/02;Fogo em áreas de vegetação nativa;4;BAHIA
2025/03;Fogo em áreas de desmatamento consolidado;96;BAHIA
2025/03;Fogo em áreas de desmatamento recente;33;BAHIA
2025/03;Fogo em áreas de vegetação nativa;13;BAHIA
2025/04;Fogo em áreas de desmatamento consolidado;99;BAHIA
2025/04;Fogo em áreas de desmatamento recente;49;BAHIA
2025/03;Fogo em áreas de desmatamento recente;28;BAHIA
2025/04;Fogo em áreas de vegetação nativa;4;BAHIA
2025/05;Fogo em áreas de desmatamento consolidado;102;BAHIA
2025/05;Fogo em áreas de desmatamento recente;34;BAHIA
2025/03;Fogo em áreas de vegetação nativa;3;BAHIA
2025/05;Fogo em outras áreas;1;BAHIA
2025/05;Fogo em áreas de vegetação nativa;9;BAHIA
2025/06;Fogo em áreas de desmatamento consolidado;112;BAHIA
2025/06;Fogo em áreas de desmatamento recente;53;BAHIA
2025/06;Fogo em áreas de vegetação nativa;21;BAHIA
2025/07;Fogo em áreas de desmatamento consolidado;165;BAHIA
2025/07;Fogo em áreas de desmatamento recente;55;BAHIA
2025/07;Fogo em áreas de vegetação nativa;55;BAHIA
2025/08;Fogo em áreas de desmatamento consolidado;289;BAHIA
2025/04;Fogo em áreas de desmatamento consolidado;71;BAHIA
2025/08;Fogo em áreas de desmatamento recente;71;BAHIA
2025/08;Fogo em outras áreas;1;BAHIA
2025/08;Fogo em áreas de vegetação nativa;186;BAHIA
2025/09;Fogo em áreas de desmatamento consolidado;1104;BAHIA
2025/09;Fogo em áreas de desmatamento recente;290;BAHIA
2025/09;Fogo em áreas de vegetação nativa;512;BAHIA
2025/10;Fogo em áreas de desmatamento consolidado;1279;BAHIA
2025/10;Fogo em áreas de desmatamento recente;407;BAHIA
2025/10;Fogo em áreas de vegetação nativa;401;BAHIA
2025/11;Fogo em áreas de desmatamento consolidado;471;BAHIA
2025/11;Fogo em áreas de desmatamento recente;132;BAHIA
2025/11;Fogo em áreas de vegetação nativa;99;BAHIA
2025/12;Fogo em áreas de desmatamento consolidado;191;BAHIA
2025/04;Fogo em áreas de desmatamento recente;13;BAHIA
2025/12;Fogo em áreas de desmatamento recente;71;BAHIA
2025/12;Fogo em áreas de vegetação nativa;8;BAHIA
2025/04;Fogo em áreas de vegetação nativa;1;BAHIA
2025/05;Fogo em áreas de desmatamento consolidado;25;BAHIA
2025/05;Fogo em áreas de desmatamento recente;2;BAHIA
2025/05;Fogo em áreas de vegetação nativa;2;BAHIA
2025/06;Fogo em áreas de desmatamento consolidado;63;BAHIA
2025/06;Fogo em áreas de desmatamento recente;9;BAHIA
2025/07;Fogo em áreas de desmatamento consolidado;59;BAHIA
2025/07;Fogo em áreas de desmatamento recente;7;BAHIA
2025/07;Fogo em áreas de vegetação nativa;1;BAHIA
2025/08;Fogo em áreas de desmatamento consolidado;104;BAHIA
2025/08;Fogo em áreas de desmatamento recente;20;BAHIA
2025/08;Fogo em áreas de vegetação nativa;4;BAHIA
2025/09;Fogo em áreas de desmatamento consolidado;223;BAHIA
2025/09;Fogo em áreas de desmatamento recente;50;BAHIA
2025/09;Fogo em áreas de vegetação nativa;1;BAHIA
2025/10;Fogo em áreas de desmatamento consolidado;164;BAHIA
2025/10;Fogo em áreas de desmatamento recente;40;BAHIA
2025/10;Fogo em áreas de vegetação nativa;2;BAHIA
2025/11;Fogo em áreas de desmatamento consolidado;78;BAHIA
2025/11;Fogo em áreas de desmatamento recente;22;BAHIA
2025/11;Fogo em áreas de vegetação nativa;1;BAHIA
2025/12;Fogo em áreas de desmatamento consolidado;87;BAHIA
2025/12;Fogo em áreas de desmatamento recente;10;BAHIA
2025/12;Fogo em áreas de vegetação nativa;3;BAHIA
2026/01;Fogo em áreas de desmatamento consolidado;14;BAHIA
2026/01;Fogo em áreas de desmatamento recente;32;BAHIA
2026/01;Fogo em áreas de vegetação nativa;7;BAHIA
2025/02;Fogo em áreas de desmatamento consolidado;16;BAHIA
2025/02;Fogo em áreas de desmatamento recente;47;BAHIA
2025/03;Fogo em áreas de desmatamento consolidado;18;BAHIA
2025/03;Fogo em áreas de desmatamento recente;35;BAHIA
2025/03;Fogo em áreas de vegetação nativa;13;BAHIA
2025/04;Fogo em áreas de desmatamento consolidado;18;BAHIA
2025/04;Fogo em áreas de desmatamento recente;65;BAHIA
2025/04;Fogo em áreas de vegetação nativa;7;BAHIA
2025/05;Fogo em áreas de desmatamento consolidado;33;BAHIA
2025/05;Fogo em áreas de desmatamento recente;133;BAHIA
2025/05;Fogo em áreas de vegetação nativa;16;BAHIA
2025/06;Fogo em áreas de desmatamento consolidado;49;BAHIA
2025/06;Fogo em áreas de desmatamento recente;139;BAHIA
2025/06;Fogo em áreas de vegetação nativa;72;BAHIA
2025/07;Fogo em áreas de desmatamento consolidado;90;BAHIA
2025/07;Fogo em áreas de desmatamento recente;175;BAHIA
2025/07;Fogo em áreas de vegetação nativa;164;BAHIA
2025/08;Fogo em áreas de desmatamento consolidado;137;BAHIA
2025/08;Fogo em áreas de desmatamento recente;247;BAHIA
2025/08;Fogo em áreas de vegetação nativa;286;BAHIA
2025/09;Fogo em áreas de desmatamento consolidado;266;BAHIA
2025/09;Fogo em áreas de desmatamento recente;157;BAHIA
2025/09;Fogo em outras áreas;5;BAHIA
2025/09;Fogo em áreas de vegetação nativa;729;BAHIA
2025/10;Fogo em áreas de desmatamento consolidado;293;BAHIA
2025/10;Fogo em áreas de desmatamento recente;149;BAHIA
2025/10;Fogo em outras áreas;4;BAHIA
2025/10;Fogo em áreas de vegetação nativa;565;BAHIA
2025/11;Fogo em áreas de desmatamento consolidado;46;BAHIA
2025/11;Fogo em áreas de desmatamento recente;52;BAHIA
2025/11;Fogo em áreas de vegetação nativa;37;BAHIA
2025/12;Fogo em áreas de desmatamento consolidado;11;BAHIA
2025/12;Fogo em áreas de desmatamento recente;20;BAHIA
2025/12;Fogo em áreas de vegetação nativa;1;BAHIA
2025/12;Fogo em áreas de vegetação nativa;16;AMAZONAS
2025/12;Fogo em áreas de desmatamento recente;34;AMAZONAS
2025/12;Fogo em áreas de desmatamento consolidado;68;AMAZONAS
2025/11;Fogo em áreas de vegetação nativa;34;AMAZONAS
2025/11;Fogo em outras áreas;1;AMAZONAS
2025/11;Fogo em áreas de desmatamento recente;96;AMAZONAS
2025/11;Fogo em áreas de desmatamento consolidado;140;AMAZONAS
2025/10;Fogo em áreas de vegetação nativa;93;AMAZONAS
2025/10;Fogo em outras áreas;2;AMAZONAS
2025/10;Fogo em áreas de desmatamento recente;459;AMAZONAS
2025/10;Fogo em áreas de desmatamento consolidado;320;AMAZONAS
2025/09;Fogo em áreas de vegetação nativa;128;AMAZONAS
2025/09;Fogo em outras áreas;1;AMAZONAS
2025/09;Fogo em áreas de desmatamento recente;470;AMAZONAS
2025/09;Fogo em áreas de desmatamento consolidado;343;AMAZONAS
2025/08;Fogo em áreas de vegetação nativa;188;AMAZONAS
2025/08;Fogo em outras áreas;2;AMAZONAS
2025/08;Fogo em áreas de desmatamento recente;1292;AMAZONAS
2025/08;Fogo em áreas de desmatamento consolidado;360;AMAZONAS
2025/07;Fogo em áreas de vegetação nativa;31;AMAZONAS
2025/07;Fogo em áreas de desmatamento recente;175;AMAZONAS
2025/07;Fogo em áreas de desmatamento consolidado;72;AMAZONAS
2025/06;Fogo em áreas de vegetação nativa;58;AMAZONAS
2025/06;Fogo em áreas de desmatamento recente;14;AMAZONAS
2025/06;Fogo em áreas de desmatamento consolidado;19;AMAZONAS
2025/05;Fogo em áreas de vegetação nativa;8;AMAZONAS
2025/05;Fogo em áreas de desmatamento recente;1;AMAZONAS
2025/05;Fogo em áreas de desmatamento consolidado;16;AMAZONAS
2025/04;Fogo em áreas de desmatamento recente;5;AMAZONAS
2025/04;Fogo em áreas de desmatamento consolidado;4;AMAZONAS
2025/03;Fogo em áreas de vegetação nativa;5;AMAZONAS
2025/03;Fogo em áreas de desmatamento recente;2;AMAZONAS
2025/03;Fogo em áreas de desmatamento consolidado;17;AMAZONAS
2025/02;Fogo em outras áreas;2;AMAZONAS
2025/02;Fogo em áreas de desmatamento recente;4;AMAZONAS
2025/02;Fogo em áreas de desmatamento consolidado;5;AMAZONAS
2026/02;Fogo em áreas de vegetação nativa;2;AMAZONAS
2026/02;Fogo em áreas de desmatamento recente;2;AMAZONAS
2026/02;Fogo em áreas de desmatamento consolidado;3;AMAZONAS
2026/01;Fogo em áreas de vegetação nativa;2;AMAZONAS
2026/01;Fogo em áreas de desmatamento recente;7;AMAZONAS
2026/01;Fogo em áreas de desmatamento consolidado;9;AMAZONAS
2026/01;Fogo em áreas de vegetação nativa;16;AMAPÁ
2025/09;Fogo em áreas de desmatamento consolidado;31;AMAPÁ
2025/08;Fogo em áreas de vegetação nativa;6;AMAPÁ
2025/10;Fogo em áreas de desmatamento recente;26;AMAPÁ
2026/02;Fogo em áreas de desmatamento consolidado;1;AMAPÁ
2025/12;Fogo em áreas de desmatamento consolidado;60;AMAPÁ
2026/02;Fogo em áreas de vegetação nativa;3;AMAPÁ
2025/08;Fogo em áreas de desmatamento consolidado;7;AMAPÁ
2025/12;Fogo em áreas de desmatamento recente;11;AMAPÁ
2025/12;Fogo em outras áreas;1;AMAPÁ
2026/01;Fogo em áreas de desmatamento recente;4;AMAPÁ
2025/07;Fogo em áreas de vegetação nativa;2;AMAPÁ
2025/11;Fogo em áreas de vegetação nativa;172;AMAPÁ
2025/12;Fogo em áreas de vegetação nativa;111;AMAPÁ
2025/09;Fogo em áreas de vegetação nativa;33;AMAPÁ
2025/07;Fogo em áreas de desmatamento consolidado;3;AMAPÁ
2025/09;Fogo em áreas de desmatamento recente;9;AMAPÁ
2025/06;Fogo em áreas de vegetação nativa;1;AMAPÁ
2026/01;Fogo em áreas de desmatamento consolidado;16;AMAPÁ
2025/10;Fogo em áreas de vegetação nativa;179;AMAPÁ
2025/11;Fogo em áreas de desmatamento recente;32;AMAPÁ
2025/02;Fogo em áreas de vegetação nativa;1;AMAPÁ
2025/03;Fogo em áreas de desmatamento consolidado;1;AMAPÁ
2025/10;Fogo em áreas de desmatamento consolidado;128;AMAPÁ
2025/11;Fogo em áreas de desmatamento consolidado;131;AMAPÁ
2025/10;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/03;Fogo em áreas de desmatamento consolidado;13;ALAGOAS
2025/10;Fogo em áreas de desmatamento consolidado;5;ALAGOAS
2025/09;Fogo em áreas de desmatamento consolidado;1;ALAGOAS
2026/01;Fogo em áreas de desmatamento consolidado;9;ALAGOAS
2025/06;Fogo em áreas de desmatamento consolidado;1;ALAGOAS
2025/08;Fogo em áreas de desmatamento consolidado;1;ALAGOAS
2025/06;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/02;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/06;Fogo em áreas de desmatamento consolidado;4;ALAGOAS
2025/02;Fogo em áreas de desmatamento consolidado;6;ALAGOAS
2025/05;Fogo em áreas de desmatamento recente;7;ALAGOAS
2025/05;Fogo em áreas de desmatamento consolidado;10;ALAGOAS
2026/02;Fogo em áreas de desmatamento consolidado;7;ALAGOAS
2026/02;Fogo em áreas de desmatamento recente;2;ALAGOAS
2025/12;Fogo em áreas de desmatamento recente;3;ALAGOAS
2025/04;Fogo em áreas de desmatamento consolidado;18;ALAGOAS
2025/12;Fogo em áreas de desmatamento consolidado;3;ALAGOAS
2025/09;Fogo em áreas de desmatamento consolidado;1;ALAGOAS
2025/09;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/11;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/11;Fogo em áreas de desmatamento consolidado;11;ALAGOAS
2025/05;Fogo em áreas de desmatamento consolidado;2;ALAGOAS
2025/04;Fogo em áreas de desmatamento recente;3;ALAGOAS
2025/04;Fogo em áreas de desmatamento consolidado;4;ALAGOAS
2025/03;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/03;Fogo em áreas de desmatamento consolidado;8;ALAGOAS
2025/02;Fogo em áreas de desmatamento recente;2;ALAGOAS
2025/02;Fogo em áreas de desmatamento consolidado;13;ALAGOAS
2026/02;Fogo em áreas de desmatamento consolidado;8;ALAGOAS
2026/01;Fogo em áreas de desmatamento recente;1;ALAGOAS
2026/01;Fogo em áreas de desmatamento consolidado;36;ALAGOAS
2025/12;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/12;Fogo em áreas de desmatamento consolidado;32;ALAGOAS
2025/11;Fogo em áreas de desmatamento recente;4;ALAGOAS
2025/11;Fogo em áreas de desmatamento consolidado;26;ALAGOAS
2025/10;Fogo em áreas de desmatamento recente;1;ALAGOAS
2025/10;Fogo em áreas de desmatamento consolidado;14;ALAGOAS
2026/01;Fogo em áreas de desmatamento consolidado;1;ACRE
2026/01;Fogo em áreas de desmatamento recente;1;ACRE
2025/02;Fogo em áreas de desmatamento consolidado;4;ACRE
2025/02;Fogo em áreas de vegetação nativa;1;ACRE
2025/04;Fogo em áreas de desmatamento consolidado;3;ACRE
2025/05;Fogo em áreas de desmatamento consolidado;5;ACRE
2025/05;Fogo em áreas de desmatamento recente;3;ACRE
2025/06;Fogo em áreas de desmatamento consolidado;8;ACRE
2025/06;Fogo em áreas de desmatamento recente;13;ACRE
2025/07;Fogo em áreas de desmatamento consolidado;54;ACRE
2025/07;Fogo em áreas de desmatamento recente;94;ACRE
2025/07;Fogo em áreas de vegetação nativa;15;ACRE
2025/08;Fogo em áreas de desmatamento consolidado;132;ACRE
2025/08;Fogo em áreas de desmatamento recente;322;ACRE
2025/08;Fogo em áreas de vegetação nativa;63;ACRE
2025/09;Fogo em áreas de desmatamento consolidado;220;ACRE
2025/09;Fogo em áreas de desmatamento recente;511;ACRE
2025/09;Fogo em áreas de vegetação nativa;109;ACRE
2025/10;Fogo em áreas de desmatamento consolidado;160;ACRE
2025/10;Fogo em áreas de desmatamento recente;354;ACRE
2025/10;Fogo em áreas de vegetação nativa;44;ACRE
2025/11;Fogo em áreas de desmatamento consolidado;7;ACRE
2025/11;Fogo em áreas de desmatamento recente;25;ACRE
2025/11;Fogo em áreas de vegetação nativa;1;ACRE
2025/12;Fogo em áreas de desmatamento consolidado;1;ACRE